combination_id,evidence_class,change_scope,intervention_locus,change_operator,combination_status,structural_default_priority,rule_ids,decision_reason,release_or_next_step
N-001,N,FULL_METHOD,SYSTEM,ADD,VALID,REJECT,S-FULL;R-STRUCTURAL-PROLIFERATION,全方法同时在系统、骨干或分支层新增/拆分，改动过多且结构膨胀，无法归因于一个主要假设。,不得按当前组合运行；必须拆成单一组件假设，或改为替换/合并方案。
N-002,N,FULL_METHOD,SYSTEM,REPLACE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-003,N,FULL_METHOD,SYSTEM,DELETE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-004,N,FULL_METHOD,SYSTEM,REWIRE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-005,N,FULL_METHOD,SYSTEM,MERGE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-006,N,FULL_METHOD,SYSTEM,SPLIT,VALID,REJECT,S-FULL;R-STRUCTURAL-PROLIFERATION,全方法同时在系统、骨干或分支层新增/拆分，改动过多且结构膨胀，无法归因于一个主要假设。,不得按当前组合运行；必须拆成单一组件假设，或改为替换/合并方案。
N-007,N,FULL_METHOD,DATA,ADD,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-008,N,FULL_METHOD,DATA,REPLACE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-009,N,FULL_METHOD,DATA,DELETE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-010,N,FULL_METHOD,DATA,REWIRE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-011,N,FULL_METHOD,DATA,MERGE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-012,N,FULL_METHOD,DATA,SPLIT,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-013,N,FULL_METHOD,FEATURE,ADD,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-014,N,FULL_METHOD,FEATURE,REPLACE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-015,N,FULL_METHOD,FEATURE,DELETE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-016,N,FULL_METHOD,FEATURE,REWIRE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-017,N,FULL_METHOD,FEATURE,MERGE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-018,N,FULL_METHOD,FEATURE,SPLIT,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-019,N,FULL_METHOD,BACKBONE,ADD,VALID,REJECT,S-FULL;R-STRUCTURAL-PROLIFERATION,全方法同时在系统、骨干或分支层新增/拆分，改动过多且结构膨胀，无法归因于一个主要假设。,不得按当前组合运行；必须拆成单一组件假设，或改为替换/合并方案。
N-020,N,FULL_METHOD,BACKBONE,REPLACE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-021,N,FULL_METHOD,BACKBONE,DELETE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-022,N,FULL_METHOD,BACKBONE,REWIRE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
N-023,N,FULL_METHOD,BACKBONE,MERGE,VALID,HOLD,S-FULL;H-DECOMPOSE,全方法 N candidate 默认暂缓；先拆成可独立证伪的组件级实验，再重新分类。,拆成组件级候选，并为每个候选定义独立支持预测与证伪条件。
